# Fix print output for fix defprint
0 0.135004675986649 0.134888523474048 -0.272585090827377 938.302162561648 568513922.849528
-0.0001 0.00338414755642446 0.00351801226235287 -0.366129694369918 938.208332345392 567875292.366488
-0.0002 -0.00320774118710932 -0.00309263096477133 -0.384009630460678 938.114502129136 567818768.148158
-0.0003 -0.000491272777017118 -0.000594779129030158 -0.396368280311421 938.02067191288 567805762.760721
-0.0004 -0.00123264987386656 -0.00150308052610691 -0.410118744702229 937.926841696624 567778474.230937
-0.0005 -0.000998928008019892 -0.000899089742067781 -0.423011273604502 937.833011480367 567758042.824773
-0.0006 -0.0011408114040016 -0.000672447179407169 -0.436492523482216 937.739181264111 567735025.833011
-0.0007 -0.000612053295325533 -0.000958103775601558 -0.450226411734085 937.645351047855 567712509.117112
-0.0008 -0.00115637404772111 -0.000421573064103832 -0.46431823989262 937.551520831599 567690659.323647
-0.0009 -0.000618111057604975 -0.000775978422499086 -0.478076531556351 937.457690615343 567668842.999094
-0.001 -0.000953729491811807 -0.00059376997859861 -0.491840429128352 937.363860399087 567646258.797891
-0.0011 7.49715460519039e-05 -0.000857084104353596 -0.505069783625483 937.27003018283 567624737.801008
-0.0012 -0.00109029558470214 -0.000513727982084801 -0.518826007744518 937.176199966574 567600892.707617
-0.0013 -0.000463814191103585 -0.000784385081207788 -0.532277425190859 937.082369750318 567579387.469315
-0.0014 -0.000740130136493096 -0.000613232605209383 -0.546177159391763 936.988539534062 567557079.740651
-0.0015 -0.000568591045148945 -0.000762771627931509 -0.559922023353112 936.894709317806 567535162.008498
-0.0016 -0.00068722746578595 -0.000418845925449198 -0.573384569358973 936.80087910155 567513526.361023
-0.0017 -0.000537910223666672 -0.000684368987477142 -0.587116650781061 936.707048885293 567490745.998367
-0.0018 -0.000836381473499894 -0.000535107286185505 -0.60083349614003 936.613218669037 567468055.847792
-0.0019 -0.000628685973085592 -0.00065176076159531 -0.61454204281489 936.519388452781 567445917.187426
-0.002 -0.000575558412765494 -0.000616586933905731 -0.628221262730091 936.425558236525 567423480.790015
-0.0021 -0.000821629523063811 -0.000650688846130885 -0.641868476165523 936.331728020269 567401418.052765
-0.0022 -0.000555504494262415 -0.000391751107076413 -0.655433598613759 936.237897804013 567380987.789906
-0.0023 -0.000594935612399478 -0.000778755763565572 -0.669223207396197 936.144067587756 567357830.609579
-0.0024 -0.000521151845029487 -0.000598272909522301 -0.68294103640163 936.0502373715 567335178.462465
-0.0025 -0.000617562572962649 -0.000629929726627989 -0.696722979649927 935.956407155244 567312622.03499
-0.0026 -0.000918145768788107 -0.000562977116201732 -0.710242309253775 935.862576938988 567290641.835291
-0.0027 -0.000561136898736774 -0.000852966676372299 -0.72384270915718 935.768746722732 567268676.073952
-0.0028 -0.000754873462027813 -0.000442538982364813 -0.737616355685332 935.674916506475 567246268.689477
-0.0029 -0.000393827149713839 -0.000563737114295756 -0.751268847121466 935.581086290219 567223755.883413
-0.003 -0.000905147465963454 -0.000484319734529834 -0.76527115986691 935.487256073963 567201294.923344
-0.0031 -0.000662559530223903 -0.000523041953022018 -0.778944828013903 935.393425857707 567180862.353946
-0.0032 -0.000712579871866966 -0.000689832170354226 -0.79259606578512 935.299595641451 567158776.686935
-0.0033 -0.000290446176128292 -0.000502715846021833 -0.805920822875156 935.205765425195 567137285.570332
-0.0034 -0.000609036612382316 -0.000752518784469139 -0.819883170047154 935.111935208939 567113777.59113
-0.0035 -0.000354907109597751 -0.000563962423874147 -0.833614181999939 935.018104992682 567092456.22685
-0.0036 -0.000559893211293223 -0.000734283433246537 -0.847214120532067 934.924274776426 567070159.223075
-0.0037 -0.000689540778522133 -0.000589305586883729 -0.86084164932575 934.83044456017 567048381.445253
-0.0038 -0.000536662960455173 -0.000749163785947707 -0.874614218946927 934.736614343914 567026137.604007
-0.0039 -0.000684121898477344 -0.000571297991787979 -0.888364390762011 934.642784127658 567004273.962032
-0.004 -0.000434848978596071 -0.000687957962857641 -0.902075553865006 934.548953911402 566982495.127078
-0.0041 -0.000807778223655376 -0.000559580712148866 -0.915857768261074 934.455123695145 566961621.863426
-0.0042 -0.000390640961664411 -0.000720128372568906 -0.929489928130354 934.361293478889 566939913.610923
-0.0043 -0.000792984741712442 -0.000512270510964383 -0.943184299099461 934.267463262633 566917640.063133
-0.0044 -0.000257623322425849 -0.000811201209416997 -0.956933151874735 934.173633046377 566895884.971727
-0.0045 -0.000757040801542054 -6.74093099848298e-05 -0.970436206409176 934.079802830121 566874309.661916
-0.0046 -0.000391185678363419 -0.000809143114115746 -0.984399227126476 933.985972613865 566851349.625142
-0.0047 -0.000580296663584198 -0.000418934188906427 -0.997942423764888 933.892142397608 566829716.106723
-0.0048 -0.000289876341276663 -0.00109136050548476 -1.01192665348387 933.798312181352 566807240.466995
-0.0049 -0.000783286453727093 -0.000497570652037705 -1.02535508660926 933.704481965096 566785099.829809
-0.005 -0.000673424698697623 -0.000633646133552811 -1.03904486456558 933.61065174884 566763841.771411
-0.0051 -0.000587114495630164 -0.000652594697289878 -1.05273028259635 933.516821532584 566742832.045979
-0.0052 -0.000535493955727216 -0.00066670858086733 -1.06647362044149 933.422991316328 566722054.921207
-0.0053 -0.000707732907466208 -0.000382805012356282 -1.08020290987245 933.329161100071 566699875.105258
-0.0054 -0.000524738422636076 -0.000771263954857509 -1.09423452296571 933.235330883815 566677884.438751
-0.0055 -0.000713764542575208 -0.000386589416874409 -1.10781119773948 933.141500667559 566655615.03246
-0.0056 -0.000394659667122316 -0.000675322986609486 -1.12139875617113 933.047670451303 566634553.541928
-0.0057 -0.000688884362861005 -0.000498856380402668 -1.13519818864101 932.953840235047 566612560.578848
-0.0058 -0.000382521395815595 -0.000616015271710028 -1.14886493129555 932.860010018791 566591207.413805
-0.0059 -0.000896993605058359 -0.000555765589222495 -1.16281513794602 932.766179802534 566568687.007144
-0.006 -0.000372275373296003 -0.000614260977409452 -1.17624178664272 932.672349586278 566547437.668414
-0.0061 -0.000654412043307151 -0.000639409992568593 -1.19003910645656 932.578519370022 566525962.426563
-0.0062 -0.000678153372735559 -0.00089272396665144 -1.20374731560191 932.484689153766 566505532.423249
-0.0063 -0.00057277293059638 -0.000445632190269208 -1.21731053626246 932.39085893751 566484086.491704
-0.0064 -0.000759231864476115 -0.000612869855490502 -1.23116035084566 932.297028721254 566461833.62659
-0.0065 -0.000544425281860908 -0.000802606577804848 -1.24499508075019 932.203198504998 566440302.22099
-0.0066 -0.000819689808284059 -0.000526525255243144 -1.25868737217159 932.109368288741 566418387.260922
-0.0067 -0.000411379663197387 -0.00070394646227943 -1.27218228625235 932.015538072485 566397429.942393
-0.0068 -0.000710710774523119 -0.000543648652940895 -1.28578897851268 931.921707856229 566375601.655759
-0.0069 -0.000491092560337166 -0.000847578465305632 -1.29943749735716 931.827877639973 566353859.446868
-0.007 -0.000822386754603087 -0.000463450483787228 -1.3131246825864 931.734047423717 566332609.235901
-0.0071 -0.000401166711055606 -0.000991971686937567 -1.32737134335118 931.64021720746 566311600.593587
-0.0072 -0.000870288010215454 -0.000322423012742175 -1.34117423871707 931.546386991204 566290140.882123
-0.0073 -0.000290829453168805 -0.000817286153455742 -1.35487861289189 931.452556774948 566269058.784008
-0.0074 -0.000855249782844418 -0.000425459252390963 -1.36830688778261 931.358726558692 566247157.981093
-0.0075 -0.000679757510656958 -0.000819254904884771 -1.38198413611592 931.264896342436 566225654.234162
-0.0076 -0.000637770641885005 -0.000533769402869116 -1.39577572755914 931.17106612618 566204365.04475
-0.0077 -0.00057673472411961 -0.000810175441109132 -1.40993248289849 931.077235909924 566183478.251097
-0.0078 -0.000568596204389056 -0.000536250778742223 -1.42337193273152 930.983405693667 566162768.246663
-0.0079 -0.00078190929339056 -0.000527065052805574 -1.43689230882545 930.889575477411 566141655.087282
-0.008 -0.000585181440067731 -0.000765560241894344 -1.4507205011532 930.795745261155 566119138.34449
-0.0081 -0.000701701627483238 -0.00045039398912337 -1.46439021934021 930.701915044899 566098218.634397
-0.0082 -0.000748285961298916 -0.000802348133775448 -1.4786011161293 930.608084828643 566076577.944333
-0.0083 -0.000778550667175401 -0.00045451188789677 -1.49224383393612 930.514254612387 566056419.566322
-0.0084 -0.000506716961600678 -0.000840158171092741 -1.50574690411659 930.42042439613 566035702.578262
-0.0085 -0.000787825504363742 -0.000696573588853959 -1.51931991750917 930.326594179874 566013683.031147
-0.0086 -0.000653654016715489 -0.000573954074071676 -1.53311924347504 930.232763963618 565992281.698593
-0.0087 -0.000816642935105431 -0.000619241516216002 -1.54710155151087 930.138933747362 565970698.551431
-0.0088 -0.000444394287912283 -0.000854627947088408 -1.56067024591085 930.045103531106 565949840.115589
-0.0089 -0.000837604793657464 -0.000601869999760452 -1.57433137852445 929.951273314849 565928874.791195
-0.009 -0.000414956013932031 -0.000824132722996156 -1.58803793390723 929.857443098593 565907447.972812
-0.0091 -0.000451462702846332 -0.000489374894592193 -1.60160264126255 929.763612882337 565886727.94282
-0.0092 -0.000764741021622114 -0.000546888509026331 -1.61562358880579 929.669782666081 565865331.351898
-0.0093 -0.000577714970383105 -0.000840982072508848 -1.62945673129701 929.575952449825 565845091.422111
-0.0094 -0.000517865812118056 -0.000430434533317913 -1.64315951362838 929.482122233569 565824546.692367
-0.0095 -0.000459702128669192 -0.00088380515451323 -1.65693577553939 929.388292017313 565802271.496536
-0.0096 -0.00075137229308387 -0.000633303619213416 -1.67053147173588 929.294461801056 565781850.256634
-0.0097 -0.000409150602278814 -0.000715792698616456 -1.68425275583718 929.2006315848 565760553.167011
-0.0098 -0.000877340944535704 -0.000193889968309208 -1.69788856701537 929.106801368544 565739862.986035
-0.0099 -0.000358453013850475 -0.000865776850887069 -1.71197144877915 929.012971152288 565718537.681083
-0.01 -0.000819372064579238 -0.000622575781943245 -1.72573138392542 928.919140936032 565696498.103607
-0.0101 -0.000594578394649178 -0.000833573565406851 -1.73946005099793 928.825310719776 565675688.917922
-0.0102 -0.000493091895982105 -0.00058150068021123 -1.7531905806868 928.731480503519 565656493.06338
-0.0103 -0.000398438259585103 -0.000784305537471708 -1.76680238981801 928.637650287263 565635342.321189
-0.0104 -0.000725466379188091 -0.000401888852435482 -1.78069170502673 928.543820071007 565614732.849191
-0.0105 -0.000515059858844091 -0.000933222482334823 -1.79453923528352 928.449989854751 565592552.398859
-0.0106 -0.000592317554321649 -0.000403165124068196 -1.80813775775512 928.356159638495 565572299.337282
-0.0107 -0.000774180159017518 -0.00069585928369451 -1.82193246729567 928.262329422239 565551739.179865
-0.0108 -0.000757405730920339 -0.000502272293918602 -1.8356099621002 928.168499205982 565531425.544706
-0.0109 -0.00077129353482159 -0.000511155712097502 -1.84949774323094 928.074668989726 565511085.679139
-0.011 -0.000528893698115395 -0.00079387499171953 -1.86324674876545 927.98083877347 565489376.324642
-0.0111 -0.000989252185647632 -0.000502371303530327 -1.87702369380737 927.887008557214 565468249.570156
-0.0112 -0.000574979164666311 -0.000835289585994397 -1.89073410930209 927.793178340958 565447683.209383
-0.0113 -0.00101603710677485 -0.000315548105333312 -1.90442127526083 927.699348124702 565426720.025244
-0.0114 -0.000319265977511196 -0.00112303559010804 -1.9182071257359 927.605517908445 565405870.607366
-0.0115 -0.000783822658860252 -0.000401063197772567 -1.93179864161647 927.511687692189 565384699.682053
-0.0116 -0.000333212415649625 -0.000954038918354258 -1.94570000550278 927.417857475933 565364257.320233
-0.0117 -0.000792117181576429 -0.000411403785388267 -1.95978735256038 927.324027259677 565344096.786268
-0.0118 -0.000374194303998449 -0.000757544267970858 -1.97350848779516 927.230197043421 565323747.023653
-0.0119 -0.000902731511554336 -0.000382992522374292 -1.98728070011457 927.136366827165 565302969.155666
-0.012 -0.000574696995117799 -0.00067990178514069 -2.00092302635412 927.042536610908 565281825.477019
-0.0121 -0.000651749174198253 -0.000582266411710405 -2.01468086777642 926.948706394652 565261183.619132
-0.0122 -0.000703880300619105 -0.000435773477329863 -2.02847692887787 926.854876178396 565240568.407297
-0.0123 -0.000407129283898287 -0.000826970601296331 -2.04231570097252 926.76104596214 565220084.037786
-0.0124 -0.000787351335439303 -0.000151016089049154 -2.05585389474161 926.667215745884 565199559.316054
-0.0125 -0.000358219414059416 -0.000898556372378191 -2.06967242495906 926.573385529628 565177960.611935
-0.0126 -0.00102624504125831 -0.000466158346050238 -2.08338977949624 926.479555313372 565157931.893759
-0.0127 -0.000605540027735468 -0.000988993351343042 -2.09728382803201 926.385725097115 565138011.625471
-0.0128 -0.000765139584115076 -0.000432547236725739 -2.11099658336295 926.291894880859 565118375.611687
-0.0129 -0.000493891342503163 -0.000955308436779497 -2.12480631696816 926.198064664603 565097152.342908
-0.013 -0.000811560903412658 -0.000427204852098407 -2.13863810271287 926.104234448347 565076866.660608
-0.0131 -0.000376669844991556 -0.000863085603987306 -2.15244465746015 926.010404232091 565055772.310084
-0.0132 -0.000892722147960899 -0.000490238488344184 -2.1661953193167 925.916574015834 565035625.686183
-0.0133 -0.00048429347152888 -0.000418775093471589 -2.17981381127698 925.822743799578 565015926.028907
-0.0134 -0.000684707907779592 -0.000763929144862539 -2.19365360108962 925.728913583322 564995249.412063
-0.0135 -0.000839147303456783 -0.000428989522385838 -2.20737780330682 925.635083367066 564974333.864966
-0.0136 -0.000491074445857414 -0.000913776631065144 -2.2211208689004 925.54125315081 564952920.35308
-0.0137 -0.000962416848663115 -0.000336421821248153 -2.23497670788366 925.447422934554 564933137.710535
-0.0138 -0.00032800151785535 -0.0010350166456165 -2.24893249746841 925.353592718297 564913749.280558
-0.0139 -0.000682331219077818 -0.000507225385826135 -2.26262889579938 925.259762502041 564894475.656026
-0.014 -0.000450379438972845 -0.000779734536190211 -2.27643490657939 925.165932285785 564873139.381961
-0.0141 -0.000950047726151456 -0.000512429777094691 -2.29033124029756 925.072102069529 564852539.546387
-0.0142 -0.000618168526649761 -0.00089831925103542 -2.30409175120952 924.978271853273 564831479.004506
-0.0143 -0.000464134085216602 -0.000513237218529197 -2.31763650440588 924.884441637017 564812083.202571
-0.0144 -0.000565105457659554 -0.000716019840720106 -2.33149917439707 924.79061142076 564791246.781658
-0.0145 -0.000458599624980524 -0.000592812521893033 -2.34517560366261 924.696781204504 564771480.151066
-0.0146 -0.00054176270396997 -0.000784083430446904 -2.35905127308105 924.602950988248 564750501.550804
-0.0147 -0.000638473340908108 -0.000754534576260359 -2.37289556792415 924.509120771992 564730772.549326
-0.0148 -0.000595512979771276 -0.00043734169545248 -2.38660002519548 924.415290555736 564711651.741715
-0.0149 -0.000725825332810165 -0.00058454754922772 -2.40040047914808 924.32146033948 564691613.797753
-0.015 -0.000690344939268384 -0.000422632132283237 -2.41397687518643 924.227630123223 564670406.006808
-0.0151 -0.00028505960495967 -0.00103363634826574 -2.42797481423496 924.133799906967 564650163.890239
-0.0152 -0.000929705387769873 -0.0004587516116199 -2.44207079983712 924.039969690711 564629397.937946
-0.0153 -0.000465197175135028 -0.000837880822434242 -2.45567314810538 923.946139474455 564610126.224804
-0.0154 -0.00104355025376844 -0.000495741330115466 -2.4696558944981 923.852309258199 564590630.234107
-0.0155 -0.000227423052415592 -0.000787771270751432 -2.48315301369677 923.758479041943 564571159.31908
