# strain(%) 1_3(1-100)_density(m^-2) 1_3(1-210)_density(m^-2) 1_3(1-213)_density(m^-2) other_density(m^-2) total_density(m^-2)
0.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
4.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
4.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
5.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
5.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
6.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
6.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
8.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
8.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
9.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
9.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
10.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
10.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
11.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
11.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
12.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
12.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
13.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
13.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
14.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
14.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
16.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
16.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
17.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
17.500000 2.522691e+13 0.000000e+00 0.000000e+00 7.319662e+14 7.571931e+14
18.000000 1.743596e+14 7.434845e+12 0.000000e+00 1.718864e+15 1.900658e+15
18.500000 4.189854e+14 1.055349e+13 3.867189e+13 2.774850e+15 3.243061e+15
19.000000 9.826322e+14 1.663395e+13 6.203097e+13 3.968067e+15 5.029364e+15
19.500000 1.394033e+15 5.729598e+13 9.375744e+13 4.569222e+15 6.114308e+15
20.000000 2.438216e+15 1.002635e+14 1.323335e+14 5.482194e+15 8.153007e+15
20.500000 2.675303e+15 1.884100e+14 1.490206e+14 6.034541e+15 9.047274e+15
21.000000 3.100161e+15 2.006817e+14 1.894469e+14 6.430728e+15 9.921018e+15
21.500000 3.002625e+15 2.104875e+14 1.793813e+14 6.053097e+15 9.445591e+15
22.000000 2.867905e+15 3.571758e+14 2.013616e+14 6.273366e+15 9.699808e+15
22.500000 3.242181e+15 3.302070e+14 1.963701e+14 6.515607e+15 1.028437e+16
23.000000 3.284973e+15 2.811835e+14 1.591127e+14 6.905002e+15 1.063027e+16
23.500000 3.209837e+15 3.043612e+14 1.880719e+14 6.967047e+15 1.066932e+16
24.000000 2.785845e+15 2.858469e+14 2.210798e+14 6.350180e+15 9.642951e+15
24.500000 2.976574e+15 3.478405e+14 2.893280e+14 7.141482e+15 1.075522e+16
25.000000 3.162431e+15 3.076659e+14 2.049784e+14 6.582440e+15 1.025752e+16
25.500000 3.235949e+15 4.115846e+14 2.210739e+14 6.844795e+15 1.071340e+16
26.000000 3.299661e+15 3.915961e+14 1.723362e+14 7.023720e+15 1.088731e+16
26.500000 3.332810e+15 3.363099e+14 1.985869e+14 6.311794e+15 1.017950e+16
27.000000 3.010665e+15 4.085855e+14 2.034137e+14 6.271073e+15 9.893737e+15
27.500000 3.188818e+15 4.594590e+14 1.899164e+14 6.348477e+15 1.018667e+16
28.000000 3.152537e+15 4.026360e+14 2.035835e+14 6.012876e+15 9.771632e+15
28.500000 3.039454e+15 4.652601e+14 1.778648e+14 5.415181e+15 9.097760e+15
29.000000 2.757745e+15 4.299263e+14 1.644178e+14 5.304612e+15 8.656701e+15
29.500000 2.849789e+15 4.525221e+14 2.224879e+14 5.128274e+15 8.653073e+15
30.000000 2.715020e+15 3.573180e+14 1.849431e+14 4.803483e+15 8.060764e+15
30.500000 2.542054e+15 4.360251e+14 1.523137e+14 5.533509e+15 8.663901e+15
31.000000 2.562052e+15 5.047195e+14 1.313473e+14 5.027596e+15 8.225715e+15
31.500000 2.395354e+15 4.485534e+14 1.416615e+14 4.943378e+15 7.928947e+15
32.000000 2.415647e+15 4.015447e+14 1.419002e+14 4.949114e+15 7.908205e+15
32.500000 2.467276e+15 3.926378e+14 1.201012e+14 4.687166e+15 7.667181e+15
33.000000 2.108393e+15 3.836627e+14 1.232072e+14 4.444153e+15 7.059416e+15
33.500000 2.091463e+15 3.913176e+14 9.886267e+13 4.576717e+15 7.158360e+15
34.000000 2.104902e+15 3.732562e+14 1.455071e+14 4.171724e+15 6.795389e+15
34.500000 1.921156e+15 3.488997e+14 1.310802e+14 4.033929e+15 6.435065e+15
35.000000 2.097949e+15 4.077043e+14 1.438597e+14 4.020114e+15 6.669627e+15
35.500000 2.223946e+15 4.179450e+14 1.414843e+14 3.727121e+15 6.510496e+15
36.000000 2.124469e+15 4.507742e+14 9.940156e+13 3.543906e+15 6.218551e+15
36.500000 2.028612e+15 4.174963e+14 9.390858e+13 3.668078e+15 6.208095e+15
37.000000 1.976593e+15 3.757226e+14 8.759573e+13 3.420684e+15 5.860595e+15
37.500000 1.843873e+15 3.258387e+14 8.864964e+13 3.348418e+15 5.606780e+15
38.000000 1.737806e+15 3.428480e+14 5.731773e+13 3.268252e+15 5.406224e+15
38.500000 1.966994e+15 2.521476e+14 9.864946e+13 2.889214e+15 5.207005e+15
39.000000 1.703567e+15 2.717369e+14 3.933760e+13 2.894796e+15 4.909437e+15
39.500000 1.478437e+15 2.823844e+14 7.056818e+13 2.894320e+15 4.725710e+15
40.000000 1.661930e+15 2.388181e+14 9.532851e+13 2.487461e+15 4.483538e+15
