# strain(%) HCP(%) FCC(%) BCC(%) Other(%)
0.000000 100.000000 0.000000 0.000000 0.000000
5.000000 100.000000 0.000000 0.000000 0.000000
10.000000 100.000000 0.000000 0.000000 0.000000
15.000000 99.857150 0.000000 0.000000 0.142850
15.050000 99.831375 0.000000 0.000000 0.168625
15.100000 99.789575 0.000000 0.000000 0.210425
15.150000 99.747550 0.000000 0.000000 0.252450
15.200000 99.698400 0.000000 0.000000 0.301600
15.250000 99.626650 0.000000 0.000000 0.373350
15.300000 99.535300 0.000000 0.000000 0.464700
15.350000 99.412600 0.000000 0.000000 0.587400
15.400000 99.251125 0.000000 0.000000 0.748875
15.450000 99.001825 0.000000 0.000000 0.998175
15.500000 98.548750 0.000125 0.000025 1.451100
15.550000 97.704150 0.000575 0.000100 2.295175
15.600000 96.046825 0.001500 0.000500 3.951175
15.650000 92.882950 0.005625 0.005000 7.106425
15.700000 87.693975 0.018225 0.024775 12.263025
15.750000 80.788250 0.061725 0.103700 19.046325
15.800000 73.616175 0.170250 0.359225 25.854350
15.850000 67.595575 0.427000 0.984900 30.992525
15.900000 63.748150 0.864225 1.840025 33.547600
15.950000 61.979725 1.365525 2.699700 33.955050
16.000000 61.513300 1.810000 3.226275 33.450425
16.050000 61.684375 2.100475 3.522350 32.692800
16.100000 62.080700 2.283525 3.673675 31.962100
16.150000 62.541475 2.412725 3.732250 31.313550
16.200000 62.983300 2.488125 3.791700 30.736875
16.250000 63.409600 2.570275 3.853350 30.166775
16.300000 63.784850 2.638925 3.880375 29.695850
16.350000 64.160250 2.696725 3.897450 29.245575
16.400000 64.497875 2.732000 3.918200 28.851925
16.450000 64.848400 2.757925 3.892475 28.501200
16.500000 65.158325 2.788000 3.883625 28.170050
16.550000 65.422950 2.814625 3.903950 27.858475
16.600000 65.694775 2.826675 3.899775 27.578775
16.650000 65.966150 2.848800 3.895425 27.289625
16.700000 66.213925 2.881575 3.890775 27.013725
16.750000 66.446200 2.899725 3.881550 26.772525
16.800000 66.676600 2.913725 3.859700 26.549975
16.850000 66.880475 2.919600 3.875425 26.324500
16.900000 67.099625 2.951650 3.860550 26.088175
16.950000 67.295725 2.963800 3.859275 25.881200
17.000000 67.479100 2.981175 3.844100 25.695625
17.050000 67.665050 2.986425 3.837425 25.511100
17.100000 67.835725 2.991000 3.834275 25.339000
17.150000 67.991300 3.015400 3.828825 25.164475
17.200000 68.142625 3.030000 3.830425 24.996950
17.250000 68.297675 3.036675 3.825925 24.839725
17.300000 68.447350 3.058050 3.790350 24.704250
17.350000 68.596825 3.041100 3.785000 24.577075
17.400000 68.734075 3.057675 3.780800 24.427450
17.450000 68.875750 3.062550 3.766150 24.295550
17.500000 69.016875 3.054875 3.760625 24.167625
17.550000 69.147800 3.060775 3.743750 24.047675
17.600000 69.270150 3.061675 3.744250 23.923925
17.650000 69.373075 3.077825 3.743850 23.805250
17.700000 69.499125 3.069325 3.714750 23.716800
17.750000 69.621000 3.076600 3.705425 23.596975
17.800000 69.722725 3.074575 3.715325 23.487375
17.850000 69.849425 3.072950 3.710000 23.367625
17.900000 69.955300 3.070700 3.692775 23.281225
17.950000 70.055900 3.076150 3.681850 23.186100
18.000000 70.167450 3.075050 3.674425 23.083075
18.050000 70.257625 3.087850 3.672950 22.981575
18.100000 70.377125 3.088475 3.658800 22.875600
18.150000 70.474650 3.085950 3.663325 22.776075
18.200000 70.599925 3.090325 3.647225 22.662525
18.250000 70.705750 3.086900 3.641325 22.566025
18.300000 70.789225 3.091800 3.640450 22.478525
18.350000 70.880825 3.070550 3.638550 22.410075
18.400000 70.971875 3.077700 3.633475 22.316950
18.450000 71.057125 3.085625 3.613325 22.243925
18.500000 71.156800 3.087975 3.594775 22.160450
18.550000 71.236250 3.091175 3.588425 22.084150
18.600000 71.328625 3.090700 3.589025 21.991650
18.650000 71.431250 3.081950 3.558575 21.928225
18.700000 71.512775 3.080450 3.570925 21.835850
18.750000 71.600950 3.075650 3.545200 21.778200
18.800000 71.680575 3.078575 3.551250 21.689600
18.850000 71.782300 3.067000 3.540550 21.610150
18.900000 71.858700 3.082025 3.507900 21.551375
18.950000 71.925825 3.087375 3.492475 21.494325
19.000000 72.005600 3.085725 3.496675 21.412000
19.050000 72.075150 3.080075 3.488600 21.356175
19.100000 72.153625 3.076250 3.497175 21.272950
19.150000 72.229075 3.089575 3.493950 21.187400
19.200000 72.324900 3.089850 3.473000 21.112250
19.250000 72.407750 3.077750 3.469250 21.045250
19.300000 72.466150 3.093275 3.461175 20.979400
19.350000 72.535725 3.110450 3.446675 20.907150
19.400000 72.580250 3.100550 3.464600 20.854600
19.450000 72.645225 3.100075 3.464050 20.790650
19.500000 72.723650 3.093475 3.455150 20.727725
19.550000 72.764775 3.093650 3.444375 20.697200
19.600000 72.849750 3.094900 3.417725 20.637625
19.650000 72.901425 3.095100 3.433050 20.570425
19.700000 73.001700 3.097225 3.412625 20.488450
19.750000 73.072875 3.096850 3.410975 20.419300
19.800000 73.140475 3.095425 3.392475 20.371625
19.850000 73.216575 3.087825 3.377700 20.317900
19.900000 73.262650 3.099475 3.378550 20.259325
19.950000 73.348325 3.089500 3.369525 20.192650
20.000000 73.431800 3.085700 3.331500 20.151000
25.000000 76.791450 3.036075 2.771400 17.401075
30.000000 77.460300 3.098250 2.620075 16.821375
35.000000 77.062700 3.224050 2.662825 17.050425
40.000000 75.831625 3.469900 2.787450 17.911025
