# strain(%) HCP(%) FCC(%) BCC(%) Other(%)
0.000000 100.000000 0.000000 0.000000 0.000000
5.000000 100.000000 0.000000 0.000000 0.000000
10.000000 100.000000 0.000000 0.000000 0.000000
15.000000 99.858063 0.000000 0.000000 0.141937
15.100000 99.797704 0.000000 0.000000 0.202296
15.200000 99.702697 0.000000 0.000000 0.297303
15.300000 99.539267 0.000000 0.000000 0.460733
15.400000 99.260496 0.000000 0.000000 0.739504
15.500000 98.576913 0.000082 0.000009 1.422996
15.600000 96.160487 0.001339 0.000893 3.837281
15.700000 88.090133 0.018358 0.022668 11.868841
15.800000 73.720399 0.163639 0.344251 25.771711
15.900000 63.450437 0.845727 1.829838 33.873998
16.000000 61.368941 1.797895 3.228143 33.605020
16.100000 62.183090 2.250948 3.606778 31.959184
16.200000 63.161224 2.452597 3.727004 30.659175
16.300000 64.013293 2.575428 3.794206 29.617074
16.400000 64.729728 2.674052 3.839814 28.756405
16.500000 65.364340 2.741673 3.842584 28.051403
16.600000 65.907571 2.780293 3.859111 27.453025
16.700000 66.399207 2.814759 3.857316 26.928717
16.800000 66.845190 2.849472 3.855567 26.449772
16.900000 67.256150 2.875182 3.862855 26.005813
17.000000 67.619579 2.895909 3.845864 25.638648
17.100000 67.962609 2.905011 3.847586 25.284794
17.200000 68.294725 2.916828 3.834275 24.954173
17.300000 68.605758 2.933136 3.816664 24.644442
17.400000 68.909730 2.941153 3.795445 24.353672
17.500000 69.185942 2.946128 3.781523 24.086407
17.600000 69.443996 2.965324 3.768969 23.821711
17.700000 69.690634 2.967912 3.751695 23.589759
17.800000 69.934967 2.977615 3.734885 23.352533
17.900000 70.155940 2.975419 3.721984 23.146656
18.000000 70.381332 2.979218 3.715087 22.924362
18.100000 70.595527 2.982544 3.704309 22.717620
18.200000 70.815361 2.984475 3.680029 22.520135
18.300000 71.017720 2.989614 3.651968 22.340698
18.400000 71.196337 2.994515 3.643777 22.165370
18.500000 71.379792 3.001339 3.619196 21.999672
18.600000 71.549472 2.997139 3.605649 21.847741
18.700000 71.713648 2.999125 3.598169 21.689058
18.800000 71.896538 2.994534 3.567119 21.541809
18.900000 72.048998 2.995636 3.562145 21.393222
19.000000 72.215798 2.992930 3.541855 21.249417
19.100000 72.376430 2.993686 3.526585 21.103298
19.200000 72.532289 2.989058 3.510468 20.968185
19.300000 72.685468 2.986525 3.485578 20.842429
19.400000 72.834293 2.983555 3.472759 20.709393
19.500000 72.982708 2.988256 3.453781 20.575255
19.600000 73.116964 2.983710 3.436625 20.462700
19.700000 73.263101 2.986908 3.420217 20.329774
19.800000 73.390297 2.986343 3.406214 20.217147
19.900000 73.520353 2.985359 3.383774 20.110514
20.000000 73.634275 2.986306 3.364769 20.014650
25.000000 76.647422 3.023588 2.696101 17.632890
30.000000 76.996811 3.164441 2.681232 17.157516
35.000000 76.726877 3.274845 2.658792 17.339486
40.000000 76.189887 3.348369 2.682143 17.779601
