# strain(%) HCP(%) FCC(%) BCC(%) Other(%)
5.000000 100.000000 0.000000 0.000000 0.000000
10.000000 100.000000 0.000000 0.000000 0.000000
15.000000 99.906250 0.000000 0.000000 0.093750
15.050000 99.843750 0.000000 0.000000 0.156250
15.100000 99.765625 0.000000 0.000000 0.234375
15.150000 99.703125 0.000000 0.000000 0.296875
15.200000 99.753125 0.000000 0.000000 0.246875
15.250000 99.596875 0.000000 0.000000 0.403125
15.300000 99.543750 0.000000 0.000000 0.456250
15.350000 99.350000 0.000000 0.000000 0.650000
15.400000 99.240625 0.000000 0.000000 0.759375
15.450000 99.168750 0.000000 0.000000 0.831250
15.500000 98.628125 0.000000 0.000000 1.371875
15.550000 97.728125 0.000000 0.000000 2.271875
15.600000 96.328125 0.000000 0.000000 3.671875
15.650000 93.703125 0.000000 0.000000 6.296875
15.700000 87.959375 0.000000 0.000000 12.040625
15.750000 79.743750 0.031250 0.015625 20.209375
15.800000 71.690625 0.106250 0.162500 28.040625
15.850000 65.668750 0.406250 0.596875 33.328125
15.900000 61.412500 0.912500 1.268750 36.406250
15.950000 59.796875 1.456250 2.171875 36.575000
16.000000 59.646875 1.762500 3.203125 35.387500
16.050000 60.293750 2.121875 3.440625 34.143750
16.100000 60.450000 2.259375 3.337500 33.953125
16.150000 61.071875 2.540625 3.706250 32.681250
16.200000 61.509375 2.740625 3.971875 31.778125
16.250000 62.071875 2.887500 4.340625 30.700000
16.300000 62.309375 3.021875 4.453125 30.215625
16.350000 63.178125 3.193750 4.562500 29.065625
16.400000 63.571875 3.100000 4.734375 28.593750
16.450000 64.162500 3.125000 4.681250 28.031250
16.500000 64.421875 3.246875 4.621875 27.709375
16.550000 64.690625 3.231250 4.587500 27.490625
16.600000 64.940625 3.318750 4.715625 27.025000
16.650000 65.043750 3.228125 4.993750 26.734375
16.700000 65.390625 3.396875 4.671875 26.540625
16.750000 65.356250 3.462500 4.787500 26.393750
16.800000 65.359375 3.403125 4.815625 26.421875
16.850000 65.546875 3.515625 4.865625 26.071875
16.900000 65.578125 3.553125 4.868750 26.000000
16.950000 65.487500 3.587500 5.075000 25.850000
17.000000 65.584375 3.718750 5.081250 25.615625
17.050000 66.371875 3.443750 5.062500 25.121875
17.100000 66.809375 3.393750 4.993750 24.803125
17.150000 66.946875 3.471875 5.050000 24.531250
17.200000 67.296875 3.384375 4.881250 24.437500
17.250000 67.428125 3.506250 4.693750 24.371875
17.300000 67.762500 3.443750 5.003125 23.790625
17.350000 67.946875 3.443750 4.950000 23.659375
17.400000 68.012500 3.468750 4.900000 23.618750
17.450000 68.550000 3.418750 4.781250 23.250000
17.500000 68.478125 3.453125 4.793750 23.275000
17.550000 68.778125 3.471875 4.806250 22.943750
17.600000 68.831250 3.471875 4.859375 22.837500
17.650000 68.803125 3.578125 4.837500 22.781250
17.700000 69.025000 3.640625 4.893750 22.440625
17.750000 69.284375 3.690625 4.800000 22.225000
17.800000 69.143750 3.618750 4.968750 22.268750
17.850000 69.315625 3.640625 4.950000 22.093750
17.900000 69.509375 3.590625 5.056250 21.843750
17.950000 69.559375 3.568750 5.043750 21.828125
18.000000 69.731250 3.865625 5.062500 21.340625
18.050000 69.971875 3.765625 4.990625 21.271875
18.100000 70.178125 3.662500 4.850000 21.309375
18.150000 70.553125 3.762500 4.743750 20.940625
18.200000 70.971875 3.828125 4.778125 20.421875
18.250000 71.131250 3.821875 4.793750 20.253125
18.300000 71.296875 3.706250 4.721875 20.275000
18.350000 71.415625 3.771875 4.603125 20.209375
18.400000 71.565625 3.659375 4.600000 20.175000
18.450000 72.118750 3.709375 4.406250 19.765625
18.500000 72.121875 3.768750 4.434375 19.675000
18.550000 72.565625 3.806250 4.334375 19.293750
18.600000 72.787500 3.740625 4.118750 19.353125
18.650000 73.146875 3.703125 4.181250 18.968750
18.700000 73.450000 3.740625 4.112500 18.696875
18.750000 73.690625 3.600000 4.337500 18.371875
18.800000 74.137500 3.771875 4.153125 17.937500
18.850000 74.350000 3.540625 4.262500 17.846875
18.900000 74.871875 3.443750 4.156250 17.528125
18.950000 75.112500 3.543750 4.181250 17.162500
19.000000 75.343750 3.503125 3.959375 17.193750
19.050000 75.421875 3.437500 4.162500 16.978125
19.100000 75.556250 3.575000 4.137500 16.731250
19.150000 75.775000 3.703125 4.000000 16.521875
19.200000 75.906250 3.518750 4.046875 16.528125
19.250000 76.137500 3.606250 4.115625 16.140625
19.300000 76.525000 3.462500 4.075000 15.937500
19.350000 76.646875 3.596875 4.221875 15.534375
19.400000 77.050000 3.509375 4.181250 15.259375
19.450000 77.193750 3.559375 4.109375 15.137500
19.500000 77.234375 3.465625 4.131250 15.168750
19.550000 77.425000 3.396875 4.162500 15.015625
19.600000 77.709375 3.378125 3.971875 14.940625
19.650000 77.784375 3.381250 4.046875 14.787500
19.700000 77.709375 3.387500 4.143750 14.759375
19.750000 77.775000 3.456250 4.215625 14.553125
19.800000 78.040625 3.315625 4.003125 14.640625
19.850000 78.121875 3.181250 4.131250 14.565625
19.900000 78.493750 3.196875 3.956250 14.353125
19.950000 78.403125 3.156250 3.987500 14.453125
20.000000 78.490625 3.134375 3.959375 14.415625
25.000000 77.556250 2.887500 2.453125 17.103125
30.000000 79.675000 2.512500 2.190625 15.621875
35.000000 77.003125 3.287500 2.796875 16.912500
40.000000 76.268750 3.500000 2.621875 17.609375
