# strain(%) HCP(%) FCC(%) BCC(%) Other(%)
0.000000 100.000000 0.000000 0.000000 0.000000
5.000000 100.000000 0.000000 0.000000 0.000000
10.000000 100.000000 0.000000 0.000000 0.000000
15.000000 99.881481 0.000000 0.000000 0.118519
15.050000 99.879630 0.000000 0.000000 0.120370
15.100000 99.819444 0.000000 0.000000 0.180556
15.150000 99.775926 0.000000 0.000000 0.224074
15.200000 99.685185 0.000000 0.000000 0.314815
15.250000 99.592593 0.000000 0.000000 0.407407
15.300000 99.567593 0.000000 0.000000 0.432407
15.350000 99.458333 0.000000 0.000000 0.541667
15.400000 99.275000 0.000000 0.000000 0.725000
15.450000 99.158333 0.000000 0.000000 0.841667
15.500000 98.711111 0.000000 0.000000 1.288889
15.550000 98.047222 0.000000 0.000000 1.952778
15.600000 96.661111 0.000926 0.000000 3.337963
15.650000 94.103704 0.003704 0.000000 5.892593
15.700000 89.397222 0.013889 0.002778 10.586111
15.750000 82.646296 0.034259 0.036111 17.283333
15.800000 75.478704 0.125000 0.156481 24.239815
15.850000 69.715741 0.313889 0.650926 29.319444
15.900000 65.642593 0.709259 1.302778 32.345370
15.950000 63.788889 1.199074 2.238889 32.773148
16.000000 63.002778 1.705556 2.986111 32.305556
16.050000 62.862963 2.041667 3.376852 31.718519
16.100000 63.219444 2.240741 3.399074 31.140741
16.150000 63.391667 2.588889 3.487037 30.532407
16.200000 63.801852 2.705556 3.628704 29.863889
16.250000 64.140741 2.712037 3.759259 29.387963
16.300000 64.603704 2.762037 3.743519 28.890741
16.350000 64.958333 2.794444 3.764815 28.482407
16.400000 65.203704 2.933333 3.927778 27.935185
16.450000 65.361111 2.975926 3.987963 27.675000
16.500000 65.569444 3.065741 4.074074 27.290741
16.550000 66.077778 2.996296 4.045370 26.880556
16.600000 66.317593 3.126852 4.047222 26.508333
16.650000 66.499074 3.125926 4.102778 26.272222
16.700000 66.808333 3.101852 4.173148 25.916667
16.750000 66.911111 3.137037 4.096296 25.855556
16.800000 67.016667 3.164815 4.030556 25.787963
16.850000 67.397222 3.182407 3.932407 25.487963
16.900000 67.617593 3.177778 4.050926 25.153704
16.950000 67.984259 3.143519 3.931481 24.940741
17.000000 68.154630 3.238889 3.875000 24.731481
17.050000 68.461111 3.184259 3.940741 24.413889
17.100000 68.782407 3.174074 3.879630 24.163889
17.150000 68.922222 3.298148 3.928704 23.850926
17.200000 69.077778 3.255556 3.870370 23.796296
17.250000 69.264815 3.228704 4.022222 23.484259
17.300000 69.535185 3.178704 3.819444 23.466667
17.350000 69.698148 3.182407 3.748148 23.371296
17.400000 69.777778 3.217593 3.813889 23.190741
17.450000 69.920370 3.162963 3.750000 23.166667
17.500000 70.169444 3.170370 3.649074 23.011111
17.550000 70.353704 3.188889 3.696296 22.761111
17.600000 70.496296 3.228704 3.590741 22.684259
17.650000 70.723148 3.252778 3.646296 22.377778
17.700000 70.799074 3.237963 3.676852 22.286111
17.750000 71.022222 3.212037 3.637037 22.128704
17.800000 71.168519 3.121296 3.551852 22.158333
17.850000 71.387963 3.155556 3.535185 21.921296
17.900000 71.434259 3.178704 3.585185 21.801852
17.950000 71.460185 3.190741 3.594444 21.754630
18.000000 71.661111 3.108333 3.635185 21.595370
18.050000 71.814815 3.077778 3.637037 21.470370
18.100000 71.772222 3.074074 3.671296 21.482407
18.150000 71.816667 3.107407 3.629630 21.446296
18.200000 71.814815 3.166667 3.627778 21.390741
18.250000 71.936111 3.186111 3.660185 21.217593
18.300000 72.077778 3.029630 3.662037 21.230556
18.350000 72.059259 3.150926 3.648148 21.141667
18.400000 72.159259 3.155556 3.642593 21.042593
18.450000 72.362963 3.097222 3.634259 20.905556
18.500000 72.384259 3.070370 3.657407 20.887963
18.550000 72.321296 3.095370 3.712963 20.870370
18.600000 72.428704 3.075926 3.848148 20.647222
18.650000 72.714815 3.083333 3.780556 20.421296
18.700000 72.739815 3.131481 3.789815 20.338889
18.750000 72.738889 3.070370 3.956481 20.234259
18.800000 72.900926 3.028704 3.830556 20.239815
18.850000 73.056481 3.043519 3.839815 20.060185
18.900000 73.126852 3.028704 3.837963 20.006481
18.950000 73.149074 3.051852 3.861111 19.937963
19.000000 73.349074 3.053704 3.790741 19.806481
19.050000 73.452778 3.031481 3.875000 19.640741
19.100000 73.452778 3.063889 3.883333 19.600000
19.150000 73.503704 3.097222 3.907407 19.491667
19.200000 73.622222 3.085185 3.847222 19.445370
19.250000 73.735185 3.102778 3.813889 19.348148
19.300000 73.662037 3.101852 3.859259 19.376852
19.350000 73.775000 3.016667 3.850926 19.357407
19.400000 73.726852 3.067593 3.803704 19.401852
19.450000 73.859259 2.986111 3.787037 19.367593
19.500000 73.883333 2.999074 3.832407 19.285185
19.550000 73.903704 2.931481 3.939815 19.225000
19.600000 73.914815 2.956481 3.954630 19.174074
19.650000 73.969444 2.932407 3.831481 19.266667
19.700000 74.094444 2.915741 3.827778 19.162037
19.750000 74.114815 2.965741 3.807407 19.112037
19.800000 74.146296 2.940741 3.793519 19.119444
19.850000 74.255556 2.868519 3.835185 19.040741
19.900000 74.442593 2.859259 3.886111 18.812037
19.950000 74.346296 2.932407 3.844444 18.876852
20.000000 74.524074 2.937963 3.739815 18.798148
25.000000 77.172222 3.250000 2.894444 16.683333
30.000000 77.486111 3.167593 3.250926 16.095370
35.000000 76.689815 3.301852 2.713889 17.294444
40.000000 75.654630 3.643519 3.130556 17.571296
