# strain(%) HCP(%) FCC(%) BCC(%) Other(%)
0.000000 100.000000 0.000000 0.000000 0.000000
5.000000 100.000000 0.000000 0.000000 0.000000
10.000000 100.000000 0.000000 0.000000 0.000000
15.000000 99.861009 0.000000 0.000000 0.138991
15.500000 98.531906 0.000250 0.000112 1.467731
16.000000 61.696197 1.814403 3.221894 33.267506
16.500000 65.591550 2.738306 3.855991 27.814153
17.000000 67.820813 2.900809 3.840294 25.438084
17.500000 69.350050 2.964300 3.777778 23.907872
18.000000 70.525087 2.994081 3.703012 22.777819
18.500000 71.487069 3.002716 3.623438 21.886778
19.000000 72.331147 3.004094 3.538337 21.126422
19.500000 73.063388 3.003637 3.455703 20.477272
20.000000 73.731672 2.992803 3.378803 19.896722
25.000000 77.535266 2.995547 2.765516 16.703672
30.000000 78.717909 3.050106 2.573825 15.658159
35.000000 78.817219 3.130097 2.539834 15.512850
40.000000 78.618344 3.202516 2.528363 15.650778
