# strain(%) HCP(%) FCC(%) BCC(%) Other(%)
0.000000 100.000000 0.000000 0.000000 0.000000
0.500000 100.000000 0.000000 0.000000 0.000000
1.000000 100.000000 0.000000 0.000000 0.000000
1.500000 100.000000 0.000000 0.000000 0.000000
2.000000 100.000000 0.000000 0.000000 0.000000
2.500000 100.000000 0.000000 0.000000 0.000000
3.000000 100.000000 0.000000 0.000000 0.000000
3.500000 100.000000 0.000000 0.000000 0.000000
4.000000 100.000000 0.000000 0.000000 0.000000
4.500000 100.000000 0.000000 0.000000 0.000000
5.000000 100.000000 0.000000 0.000000 0.000000
5.500000 100.000000 0.000000 0.000000 0.000000
6.000000 100.000000 0.000000 0.000000 0.000000
6.500000 100.000000 0.000000 0.000000 0.000000
7.000000 100.000000 0.000000 0.000000 0.000000
7.500000 100.000000 0.000000 0.000000 0.000000
8.000000 100.000000 0.000000 0.000000 0.000000
8.500000 100.000000 0.000000 0.000000 0.000000
9.000000 100.000000 0.000000 0.000000 0.000000
9.500000 100.000000 0.000000 0.000000 0.000000
10.000000 100.000000 0.000000 0.000000 0.000000
10.500000 100.000000 0.000000 0.000000 0.000000
11.000000 100.000000 0.000000 0.000000 0.000000
11.500000 100.000000 0.000000 0.000000 0.000000
12.000000 100.000000 0.000000 0.000000 0.000000
12.500000 100.000000 0.000000 0.000000 0.000000
13.000000 99.999884 0.000000 0.000000 0.000116
13.500000 100.000000 0.000000 0.000000 0.000000
14.000000 99.998148 0.000000 0.000000 0.001852
14.500000 99.981366 0.000000 0.000000 0.018634
15.000000 99.850926 0.000000 0.000000 0.149074
15.050000 99.813542 0.000000 0.000000 0.186458
15.100000 99.767245 0.000000 0.000000 0.232755
15.150000 99.716782 0.000000 0.000000 0.283218
15.200000 99.647685 0.000000 0.000000 0.352315
15.250000 99.559838 0.000000 0.000000 0.440162
15.300000 99.437037 0.000000 0.000000 0.562963
15.350000 99.216667 0.000000 0.000000 0.783333
15.400000 98.934491 0.000000 0.000000 1.065509
