# strain(%) 1_3(1-100)_density(m^-2) 1_3(1-210)_density(m^-2) 1_3(1-213)_density(m^-2) other_density(m^-2) total_density(m^-2)
0.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
5.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
10.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
12.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.250000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.500000 1.089930e+14 3.441096e+13 9.409087e+13 1.805692e+15 2.043187e+15
15.750000 1.744090e+16 2.098737e+15 2.086854e+15 3.601724e+16 5.764373e+16
16.000000 3.034421e+16 3.819130e+15 8.769739e+14 5.106941e+16 8.610972e+16
16.250000 3.730927e+16 4.864026e+15 1.866861e+15 5.852249e+16 1.025626e+17
16.500000 3.750878e+16 6.930777e+15 1.564886e+15 5.871453e+16 1.047190e+17
16.750000 4.245085e+16 7.894026e+15 1.378823e+15 6.695595e+16 1.186796e+17
17.000000 4.566021e+16 9.176961e+15 1.488232e+15 6.698675e+16 1.233122e+17
17.250000 4.433149e+16 9.716865e+15 1.500975e+15 6.697754e+16 1.225269e+17
17.500000 4.779869e+16 9.666129e+15 1.657946e+15 6.530201e+16 1.244248e+17
17.750000 4.454395e+16 1.070157e+16 1.648214e+15 6.676469e+16 1.236584e+17
18.000000 4.968377e+16 1.116980e+16 1.873280e+15 7.085135e+16 1.335782e+17
18.250000 5.257095e+16 1.270714e+16 1.360916e+15 7.623454e+16 1.428735e+17
18.500000 5.037030e+16 1.201013e+16 1.474057e+15 7.328452e+16 1.371390e+17
18.750000 5.730285e+16 1.462558e+16 2.113992e+15 7.329286e+16 1.473353e+17
19.000000 5.559035e+16 1.476951e+16 1.355757e+15 7.963904e+16 1.513547e+17
19.250000 5.728274e+16 1.496823e+16 1.509066e+15 8.048155e+16 1.542416e+17
19.500000 6.152003e+16 1.491403e+16 1.226236e+15 8.459614e+16 1.622564e+17
19.750000 6.181207e+16 1.555760e+16 1.414176e+15 8.553708e+16 1.643209e+17
20.000000 5.935843e+16 1.632584e+16 2.118252e+15 8.050588e+16 1.583084e+17
22.500000 5.391886e+16 1.902593e+16 1.586362e+15 8.380062e+16 1.583318e+17
25.000000 6.422499e+16 1.910136e+16 1.940452e+15 8.835357e+16 1.736204e+17
27.500000 6.629419e+16 2.369096e+16 9.805445e+14 1.028635e+17 1.938292e+17
30.000000 6.713747e+16 2.346142e+16 1.818133e+15 9.217034e+16 1.845874e+17
32.500000 6.828985e+16 1.969197e+16 1.583559e+15 1.028411e+17 1.924065e+17
35.000000 6.154367e+16 1.957744e+16 1.172581e+15 8.357374e+16 1.658674e+17
37.500000 6.800912e+16 2.249104e+16 1.348268e+15 8.921028e+16 1.810587e+17
40.000000 8.069688e+16 2.208631e+16 7.850543e+14 8.677063e+16 1.903389e+17
