# strain(%) 1_3(1-100)_density(m^-2) 1_3(1-210)_density(m^-2) 1_3(1-213)_density(m^-2) other_density(m^-2) total_density(m^-2)
18.150000 6.415192e+16 1.005462e+16 6.485942e+14 8.528911e+16 1.601442e+17
18.200000 6.439593e+16 9.570961e+15 1.752000e+15 8.678769e+16 1.625066e+17
18.250000 5.190761e+16 7.636489e+15 0.000000e+00 9.066521e+16 1.502093e+17
18.300000 6.138940e+16 9.621542e+15 1.833151e+15 9.245558e+16 1.652997e+17
18.350000 5.251627e+16 1.363396e+16 1.940021e+15 8.549694e+16 1.535872e+17
18.400000 5.822415e+16 1.206418e+16 2.367978e+15 7.339381e+16 1.460501e+17
18.450000 5.970862e+16 9.499847e+15 2.637196e+14 8.672156e+16 1.561937e+17
18.500000 5.821073e+16 1.340997e+16 7.335222e+14 9.124997e+16 1.636042e+17
18.550000 5.726686e+16 1.090627e+16 0.000000e+00 7.583871e+16 1.440118e+17
18.600000 5.231020e+16 1.388053e+16 5.996047e+14 8.597553e+16 1.527659e+17
18.650000 5.985557e+16 1.610270e+16 1.344374e+15 8.757069e+16 1.648733e+17
18.700000 5.976153e+16 1.236120e+16 1.834451e+15 9.481619e+16 1.687734e+17
18.750000 5.643839e+16 1.394087e+16 8.983430e+14 9.484115e+16 1.661188e+17
18.800000 6.035501e+16 1.417631e+16 1.601506e+15 9.521546e+16 1.713483e+17
18.850000 6.377771e+16 1.360524e+16 4.820997e+14 1.094071e+17 1.872721e+17
18.900000 5.860227e+16 1.432651e+16 4.195312e+14 8.255220e+16 1.559005e+17
18.950000 5.253580e+16 1.535515e+16 1.680147e+15 9.536127e+16 1.649324e+17
19.000000 6.254101e+16 1.493242e+16 1.175625e+15 9.338405e+16 1.720331e+17
19.050000 5.087093e+16 1.403442e+16 9.371429e+14 8.628250e+16 1.521250e+17
19.100000 5.401398e+16 1.523874e+16 1.464075e+15 9.250982e+16 1.632266e+17
19.150000 5.269769e+16 1.525786e+16 1.606903e+15 8.214656e+16 1.517090e+17
19.200000 4.746779e+16 1.490105e+16 1.122783e+15 9.470588e+16 1.581975e+17
19.250000 5.153427e+16 1.559890e+16 3.439309e+14 8.537525e+16 1.528524e+17
19.300000 5.714022e+16 1.373103e+16 0.000000e+00 8.360369e+16 1.544749e+17
19.350000 5.142975e+16 1.422640e+16 0.000000e+00 8.341533e+16 1.490715e+17
19.400000 5.858950e+16 1.333539e+16 3.267576e+14 8.569212e+16 1.579438e+17
19.450000 5.404338e+16 1.370110e+16 2.887134e+14 8.380333e+16 1.518365e+17
19.500000 6.097240e+16 1.359669e+16 0.000000e+00 8.507861e+16 1.596477e+17
19.550000 5.501330e+16 1.246105e+16 3.412982e+14 6.738243e+16 1.351981e+17
19.600000 6.237082e+16 1.177782e+16 0.000000e+00 7.432175e+16 1.484704e+17
19.650000 5.263403e+16 1.290651e+16 0.000000e+00 7.636996e+16 1.419105e+17
19.700000 6.025053e+16 1.083567e+16 0.000000e+00 7.352310e+16 1.446093e+17
19.750000 5.801252e+16 1.079138e+16 0.000000e+00 8.399058e+16 1.527945e+17
19.800000 5.696459e+16 1.272404e+16 0.000000e+00 8.443168e+16 1.541203e+17
19.850000 5.085671e+16 1.124442e+16 0.000000e+00 8.312791e+16 1.452290e+17
19.900000 5.423691e+16 1.244945e+16 0.000000e+00 8.561617e+16 1.523025e+17
