# strain(%) HCP(%) FCC(%) BCC(%) Other(%)
0.000000 100.000000 0.000000 0.000000 0.000000
2.500000 100.000000 0.000000 0.000000 0.000000
5.000000 100.000000 0.000000 0.000000 0.000000
7.500000 100.000000 0.000000 0.000000 0.000000
10.000000 100.000000 0.000000 0.000000 0.000000
12.500000 100.000000 0.000000 0.000000 0.000000
15.000000 99.838310 0.000000 0.000000 0.161690
15.250000 99.593866 0.000000 0.000000 0.406134
15.500000 88.229861 0.069907 0.104514 11.595718
15.750000 69.790741 2.128009 3.121296 24.959954
16.000000 73.061227 2.503472 3.297685 21.137616
16.250000 74.969097 2.594560 3.184722 19.251620
16.500000 76.212384 2.599653 3.178935 18.009028
16.750000 77.273495 2.634375 3.025694 17.066435
17.000000 78.093750 2.622454 2.885995 16.397801
17.250000 78.692593 2.574421 2.920949 15.812037
17.500000 79.309491 2.546181 2.897222 15.247106
17.750000 79.888773 2.488773 2.774190 14.848264
18.000000 80.445602 2.466551 2.682176 14.405671
18.250000 81.012731 2.396644 2.569213 14.021412
18.500000 81.398032 2.388542 2.500926 13.712500
18.750000 81.830324 2.364005 2.416667 13.389005
19.000000 82.299769 2.336111 2.376620 12.987500
19.250000 82.658796 2.330208 2.269097 12.741898
19.500000 82.948495 2.339005 2.202199 12.510301
19.750000 83.259028 2.333565 2.186343 12.221065
20.000000 83.431019 2.337269 2.125579 12.106134
22.500000 85.292593 1.966898 1.992708 10.747801
25.000000 86.026157 2.107060 1.837616 10.029167
27.500000 86.037500 2.156134 1.915046 9.891319
30.000000 85.791435 2.148611 1.863889 10.196065
32.500000 85.635648 2.297338 1.735185 10.331829
35.000000 84.666667 2.276042 1.903241 11.154051
37.500000 84.571644 2.374884 1.782060 11.271412
40.000000 83.805093 2.694676 1.983449 11.516782
