# Fix print output for fix defprint
1.41354187543054e-15 0.137639906761611 0.136628870608106 -0.268451309895477 140.747132766923 1918808.44981753
-0.000999999999998656 -0.131254244800656 -0.13070790252156 -0.567209599113552 140.606385634156 1913789.78218776
-0.00199999999999873 0.0950887402800225 0.0954886194485973 -0.56794994685037 140.465638501389 1916528.1043067
-0.00299999999999859 -0.0764114439113007 -0.0806655059781025 -0.813135142069741 140.324891368622 1913053.91863442
-0.00399999999999866 0.0527413612918433 0.0541584837698014 -0.866423497717326 140.184144235855 1914388.6939351
-0.00499999999999873 -0.0489361887898977 -0.0473637275096024 -1.06585350615845 140.043397103089 1912131.68616933
-0.0059999999999986 0.0377657802232401 0.0297842404835766 -1.14937178240835 139.902649970322 1912672.70371141
-0.00699999999999867 -0.0290703884539747 -0.0292585362558143 -1.33269622187469 139.761902837555 1910901.42293132
-0.00799999999999874 0.0198906935666735 0.0206804447760348 -1.4384030199341 139.621155704788 1910907.37371373
-0.0089999999999986 -0.0234205222481289 -0.0190274037494329 -1.60187908177418 139.480408572021 1909573.54187403
-0.00999999999999867 0.0106609215994881 0.00843875827893845 -1.71812099691068 139.339661439254 1909403.57210414
-0.0109999999999987 -0.00581953142998671 -0.00985042529899986 -1.86578071976059 139.198914306487 1908435.6387085
-0.0119999999999986 0.00423450896951574 -0.000181626026074953 -1.9986749350321 139.05816717372 1907923.47593811
-0.0129999999999987 -0.00815486642467727 -0.00644039093979856 -2.14022218824329 138.917420040953 1907016.95785652
-0.0139999999999987 0.00125401031681691 -0.00453378867051788 -2.27464268230366 138.776672908186 1906474.50195848
-0.0149999999999986 -0.00179856318842424 -0.00151898341864942 -2.41260325371983 138.635925775419 1905730.97418362
-0.0159999999999987 -0.00389118278782285 -0.00241655619158769 -2.55384504538222 138.495178642652 1905016.5510833
-0.0169999999999988 0.00563918628072862 0.0013480212422631 -2.68847882429611 138.354431509885 1904394.31102411
-0.0179999999999986 -0.00342939519337827 -0.00987635210797217 -2.83539692901545 138.213684377119 1903657.24792307
-0.0189999999999987 0.00381354359709201 0.00263759562862482 -2.96562910776094 138.072937244352 1903147.04231665
