# Fix print output for fix defprint
8.07752213331729e-16 0.134031478140653 0.133831439414175 -0.275539065714378 281.489387079963 15349669.5156835
-0.000999999999999326 -0.100388886015445 -0.098403917737353 -0.552682034959546 281.207897692883 15314107.6889136
-0.00199999999999906 0.0351668178684395 0.0345576921605768 -0.607092935167116 280.926408305803 15324928.4865276
-0.00299999999999919 -0.0342364926227192 -0.0316161347119879 -0.785810556296965 280.644918918723 15310412.1027607
-0.00399999999999932 0.0134922045854943 0.0118381911033265 -0.894392138596827 280.363429531643 15309989.0209061
-0.00499999999999905 -0.0177768874617887 -0.0180192107538555 -1.05183074281867 280.081940144563 15300274.9999531
-0.00599999999999919 0.00171218615266601 0.00194276442385084 -1.17611388481086 279.800450757483 15296824.0310662
-0.00699999999999932 -0.00956041266674199 -0.00929211052783977 -1.31943762003483 279.518961370403 15289710.3661661
-0.00799999999999905 -0.00276399635911584 -0.00367835143559569 -1.45261251754868 279.237471983324 15284874.8114702
-0.00899999999999918 -0.00802311994355648 -0.005040719108266 -1.59415903971861 278.955982596244 15278644.7948759
-0.00999999999999931 -0.00301041636782152 -0.00453268224356399 -1.73114992885907 278.674493209164 15273187.4128795
-0.010999999999999 -0.00640043019300606 -0.00659095651061629 -1.87048146323869 278.393003822084 15267194.8166642
-0.0119999999999992 -0.00473048095162207 -0.0057137519117991 -2.00777935299992 278.111514435004 15261743.2936157
-0.0129999999999993 -0.00554241771632213 -0.00682312731587424 -2.14701968888559 277.830025047924 15256020.1759492
-0.013999999999999 -0.00524549727634619 -0.00473276234467046 -2.28392424710652 277.548535660844 15250573.1311169
-0.0149999999999992 -0.00602877821580166 -0.005275185015355 -2.42127971966067 277.267046273764 15244931.847538
-0.0159999999999993 -0.00593837331866145 -0.00583288032309105 -2.5594694515671 276.985556886684 15239642.1053271
-0.016999999999999 -0.00710234683348603 -0.00538482121125863 -2.69864259503388 276.704067499604 15234333.8632476
-0.0179999999999992 -0.00487733758581757 -0.00729996533438668 -2.83766671145462 276.422578112524 15228983.251151
-0.0189999999999993 -0.00753465895212971 -0.00556331100932229 -2.97597248867179 276.141088725444 15223676.6398488
-0.019999999999999 -0.00570345355806932 -0.00836420975975518 -3.11412748146735 275.859599338364 15218373.5102965
-0.0209999999999992 -0.00644413477230579 -0.00682152804713021 -3.25194497297315 275.578109951284 15213103.8742861
-0.0219999999999993 -0.00620260265469731 -0.00687678786958293 -3.39068842354126 275.296620564204 15207957.0566994
-0.022999999999999 -0.0081967971759822 -0.005796548616657 -3.52807385310503 275.015131177124 15202798.5240636
-0.0239999999999992 -0.00602595095545879 -0.00745854308978307 -3.66724624715782 274.733641790044 15197757.3580634
-0.0249999999999993 -0.00688460930123838 -0.00526650061192969 -3.80401171367683 274.452152402964 15192789.0677558
-0.025999999999999 -0.00667615681448768 -0.00638740205524686 -3.94328185122233 274.170663015884 15187650.9697751
-0.0269999999999992 -0.00627891075093085 -0.00702267540537177 -4.08147656166324 273.889173628804 15182564.4073054
-0.0279999999999993 -0.00696452079921813 -0.00795143232315689 -4.22100008948197 273.607684241724 15177638.4840119
-0.028999999999999 -0.00719821509007587 -0.00754316252849326 -4.35770875831374 273.326194854644 15172965.0801846
-0.0299999999999992 -0.00642057917459481 -0.00796756229663667 -4.49683813088576 273.044705467564 15168219.4893821
-0.0309999999999993 -0.00754984742032366 -0.00696899249830946 -4.63441630433129 272.763216080484 15163478.8124985
-0.031999999999999 -0.00652370448292298 -0.00600581971009977 -4.77044294897371 272.481726693404 15158833.50468
-0.0329999999999992 -0.00767163759833079 -0.00836698616790084 -4.90909527263256 272.200237306324 15153993.4065087
-0.0339999999999993 -0.00695092046896478 -0.00751376283129879 -5.04625580618746 271.918747919244 15149431.0466395
-0.034999999999999 -0.00984106401140829 -0.00722336582534194 -5.18527336231827 271.637258532165 15144828.6845047
-0.0359999999999992 -0.00742000370201962 -0.00823761772477579 -5.32060122599133 271.355769145085 15140379.7606706
-0.0369999999999993 -0.008362385635491 -0.00784583335158714 -5.4572848189299 271.074279758005 15135987.6002374
-0.0379999999999992 -0.00948992400499823 -0.00658602126284865 -5.59255294790573 270.792790370925 15131537.7908804
-0.0389999999999991 -0.00621841600807232 -0.0101433929286418 -5.72989466923706 270.511300983845 15127075.5635809
-0.0399999999999993 -0.00764090916833091 -0.0068980421978909 -5.86610628828715 270.229811596765 15122836.6755717
-0.0409999999999992 -0.00869923150613174 -0.00895242083460395 -6.00454436692721 269.948322209685 15118603.2287298
-0.0419999999999991 -0.00975554683153868 -0.00657728063376165 -6.13920656471414 269.666832822605 15114483.4757012
-0.0429999999999993 -0.00811543597694816 -0.00905504641987073 -6.27468607110285 269.385343435525 15110291.2917371
-0.0439999999999992 -0.00927934777143694 -0.00924189414303235 -6.40852600236933 269.103854048445 15106141.6163231
-0.0449999999999991 -0.00881890658037397 -0.00851977747969732 -6.54398563268424 268.822364661365 15102046.6605047
-0.0459999999999993 -0.00908626426162413 -0.00893841370433759 -6.68052832935245 268.540875274285 15097987.4161149
-0.0469999999999992 -0.00917826971975531 -0.00880200581718266 -6.81567777484409 268.259385887205 15093993.5594988
-0.0479999999999991 -0.00841626259980518 -0.00984337052768961 -6.94974818098666 267.977896500125 15089970.9406264
-0.0489999999999993 -0.00942150473847838 -0.00912047931209672 -7.0827585340742 267.696407113045 15086163.7442382
-0.0499999999999992 -0.00952751713509688 -0.0110548570629575 -7.21820278861124 267.414917725965 15082281.9662129
-0.0509999999999991 -0.0105819730785469 -0.00891064335710248 -7.35100950971597 267.133428338885 15078752.0231565
-0.0519999999999993 -0.00866951054882116 -0.00873294173979757 -7.48263533235399 266.851938951805 15075075.1430074
-0.0529999999999992 -0.00983867872844608 -0.0107731129416888 -7.61590481877823 266.570449564725 15071434.4315327
-0.0539999999999991 -0.0110150045837702 -0.00867559725939337 -7.74839141708644 266.288960177645 15067681.4525512
-0.0549999999999993 -0.0102808288758252 -0.011051942776505 -7.88042682849668 266.007470790565 15063999.8949466
-0.0559999999999992 -0.010903179409254 -0.011009108955596 -8.01049145405963 265.725981403485 15060581.148222
-0.0569999999999991 -0.0105712374568265 -0.0108736097251439 -8.14261714153958 265.444492016405 15057310.3595645
-0.0579999999999993 -0.00934553791671068 -0.0117241348303929 -8.27463284509921 265.163002629325 15054027.85698
-0.0589999999999992 -0.0134504269535925 -0.0107384991389185 -8.40395038030402 264.881513242245 15050698.5245029
-0.0599999999999991 -0.0105826004186101 -0.0122439689845453 -8.53226945977511 264.600023855165 15047527.9457712
-0.0609999999999993 -0.012079991773653 -0.00981514278189147 -8.66119520615825 264.318534468085 15044329.7323446
-0.0619999999999992 -0.0117429957860415 -0.0116894983247652 -8.7928817933668 264.037045081006 15040920.6535705
-0.0629999999999991 -0.0116401241951067 -0.0121666280060239 -8.92087574811913 263.755555693926 15037961.9274646
-0.0639999999999993 -0.0130009294508082 -0.0110766988656604 -9.04656724817927 263.474066306846 15035171.3538452
-0.0649999999999994 -0.0111994532680356 -0.012937915224546 -9.17497837553363 263.192576919766 15032171.5884608
-0.0659999999999991 -0.0124012030752047 -0.0109400059215409 -9.30187975129697 262.911087532686 15029167.5810421
-0.0669999999999993 -0.0128886592378118 -0.0127765066772941 -9.42872162080474 262.629598145606 15026297.248618
-0.0679999999999994 -0.0101698225922314 -0.0131160987728201 -9.55270064756931 262.348108758526 15023548.0663097
-0.0689999999999991 -0.0152978461579736 -0.0121628861213518 -9.68043003754414 262.066619371446 15020749.7791405
-0.0699999999999992 -0.011208010817191 -0.0145879404034107 -9.80538095005618 261.785129984366 15018212.9390736
-0.0709999999999994 -0.0125953756286603 -0.0144047407483232 -9.92994275078833 261.503640597286 15015527.6570851
-0.0719999999999991 -0.0144792883443299 -0.011386198562632 -10.0535647122315 261.222151210206 15012996.6820884
-0.0729999999999992 -0.0137757541749278 -0.0152842948903008 -10.1753324044671 260.940661823126 15010220.2080222
