# strain(%) 1_3(1-100)_density(m^-2) 1_3(1-210)_density(m^-2) 1_3(1-213)_density(m^-2) other_density(m^-2) total_density(m^-2)
0.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
4.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
5.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
6.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
8.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
9.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
10.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
11.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
12.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
13.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
14.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
16.000000 3.530191e+16 3.493093e+15 8.661171e+14 5.667206e+16 9.633318e+16
17.000000 5.654741e+16 1.149642e+16 1.134401e+15 9.022959e+16 1.594078e+17
18.000000 6.159375e+16 1.473116e+16 1.392527e+15 9.705266e+16 1.747701e+17
19.000000 6.062891e+16 1.642809e+16 1.454538e+15 9.824150e+16 1.767530e+17
20.000000 6.050683e+16 1.878863e+16 1.649097e+15 9.722817e+16 1.781727e+17
21.000000 6.045384e+16 1.895365e+16 1.155231e+15 9.343744e+16 1.740002e+17
22.000000 6.558985e+16 1.833360e+16 8.628571e+14 9.374906e+16 1.785354e+17
23.000000 6.336914e+16 1.904111e+16 5.930771e+14 9.176679e+16 1.747701e+17
24.000000 6.108795e+16 1.828482e+16 6.889575e+14 8.356928e+16 1.636310e+17
25.000000 6.188389e+16 1.880899e+16 8.082307e+14 8.440998e+16 1.659111e+17
26.000000 6.029866e+16 1.904199e+16 5.902244e+14 7.949209e+16 1.594230e+17
27.000000 5.992485e+16 1.777355e+16 6.937932e+14 7.743775e+16 1.558299e+17
28.000000 6.198328e+16 1.788815e+16 6.011552e+14 7.610901e+16 1.565816e+17
29.000000 6.221113e+16 1.706370e+16 4.642463e+14 7.168559e+16 1.514247e+17
30.000000 6.270368e+16 1.615924e+16 5.322748e+14 7.206209e+16 1.514573e+17
31.000000 6.087634e+16 1.645671e+16 4.785533e+14 7.537963e+16 1.531912e+17
32.000000 5.941682e+16 1.529833e+16 5.214579e+14 7.229093e+16 1.475275e+17
33.000000 6.012873e+16 1.661431e+16 6.182684e+14 7.394905e+16 1.513104e+17
34.000000 6.443333e+16 1.539638e+16 5.625288e+14 7.097838e+16 1.513706e+17
35.000000 6.258777e+16 1.606360e+16 8.086618e+14 7.276789e+16 1.522279e+17
36.000000 6.411496e+16 1.695072e+16 5.369899e+14 6.571157e+16 1.473142e+17
37.000000 6.244161e+16 1.688891e+16 3.218025e+14 6.635526e+16 1.460076e+17
38.000000 6.258732e+16 1.704581e+16 4.618707e+14 6.878753e+16 1.488825e+17
39.000000 6.195422e+16 1.688218e+16 5.586101e+14 6.845618e+16 1.478512e+17
40.000000 6.065262e+16 1.614779e+16 4.657690e+14 6.836047e+16 1.456266e+17
