# strain(%) 1_3(1-100)_density(m^-2) 1_3(1-210)_density(m^-2) 1_3(1-213)_density(m^-2) other_density(m^-2) total_density(m^-2)
0.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
5.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
10.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.250000 1.312395e+16 5.597767e+14 2.850217e+15 2.150012e+16 3.803406e+16
15.500000 4.379232e+16 6.503063e+15 8.882511e+14 4.724797e+16 9.843161e+16
15.750000 5.084473e+16 8.564157e+15 1.243301e+15 5.370314e+16 1.143553e+17
16.000000 5.566859e+16 1.033385e+16 1.070849e+15 5.254880e+16 1.196221e+17
16.250000 5.945945e+16 1.290004e+16 1.724742e+15 5.853440e+16 1.326186e+17
16.500000 6.260970e+16 1.553470e+16 1.503163e+15 7.023608e+16 1.498836e+17
16.750000 6.631562e+16 1.503924e+16 1.384427e+15 6.946998e+16 1.522093e+17
17.000000 6.644030e+16 1.728548e+16 1.726342e+15 7.847327e+16 1.639254e+17
17.250000 6.516275e+16 1.972983e+16 1.342776e+15 7.882834e+16 1.650637e+17
17.500000 6.932781e+16 1.974010e+16 1.628180e+15 7.238453e+16 1.630806e+17
17.750000 6.571898e+16 2.054747e+16 1.364852e+15 7.141385e+16 1.590452e+17
18.000000 6.062184e+16 1.970727e+16 1.284174e+15 7.833649e+16 1.599498e+17
18.250000 5.992349e+16 2.156072e+16 1.431519e+15 7.374258e+16 1.566583e+17
18.500000 6.231946e+16 2.098371e+16 1.552986e+15 7.747357e+16 1.623297e+17
18.750000 6.562907e+16 2.143539e+16 1.534372e+15 7.929642e+16 1.678952e+17
19.000000 6.455981e+16 2.150890e+16 1.592842e+15 8.204532e+16 1.697069e+17
19.250000 6.449544e+16 2.249860e+16 1.661890e+15 8.480062e+16 1.734565e+17
19.500000 6.560441e+16 2.194028e+16 2.023159e+15 7.829224e+16 1.678601e+17
19.750000 6.704875e+16 2.298392e+16 1.384257e+15 8.411841e+16 1.755353e+17
20.000000 6.503722e+16 2.153382e+16 1.328041e+15 7.912050e+16 1.670196e+17
25.000000 6.912786e+16 1.791593e+16 7.743115e+14 6.608343e+16 1.539015e+17
30.000000 6.154475e+16 1.806564e+16 0.000000e+00 6.321679e+16 1.428272e+17
35.000000 6.483423e+16 1.873308e+16 5.487265e+14 7.171730e+16 1.558333e+17
40.000000 7.655946e+16 1.551207e+16 6.845888e+14 8.025878e+16 1.730149e+17
