# strain(%) HCP(%) FCC(%) BCC(%) Other(%)
0.000000 100.000000 0.000000 0.000000 0.000000
1.000000 100.000000 0.000000 0.000000 0.000000
2.000000 100.000000 0.000000 0.000000 0.000000
3.000000 100.000000 0.000000 0.000000 0.000000
4.000000 100.000000 0.000000 0.000000 0.000000
5.000000 100.000000 0.000000 0.000000 0.000000
6.000000 100.000000 0.000000 0.000000 0.000000
7.000000 100.000000 0.000000 0.000000 0.000000
8.000000 100.000000 0.000000 0.000000 0.000000
9.000000 100.000000 0.000000 0.000000 0.000000
10.000000 100.000000 0.000000 0.000000 0.000000
11.000000 100.000000 0.000000 0.000000 0.000000
12.000000 100.000000 0.000000 0.000000 0.000000
13.000000 100.000000 0.000000 0.000000 0.000000
14.000000 99.999775 0.000000 0.000000 0.000225
15.000000 99.985325 0.000000 0.000000 0.014675
16.000000 78.351175 2.461975 2.524950 16.661900
17.000000 86.469225 2.123775 1.845625 9.561375
18.000000 88.767475 1.872100 1.491475 7.868950
19.000000 89.643725 1.704875 1.373900 7.277500
20.000000 90.069300 1.603100 1.297000 7.030600
21.000000 90.084525 1.559050 1.313300 7.043125
22.000000 90.185400 1.569450 1.322275 6.922875
23.000000 90.438875 1.563575 1.257775 6.739775
24.000000 90.103225 1.615850 1.383225 6.897700
25.000000 90.206425 1.578450 1.294400 6.920725
26.000000 90.310125 1.560275 1.268025 6.861575
27.000000 90.252050 1.604325 1.289800 6.853825
28.000000 90.271650 1.632050 1.253325 6.842975
29.000000 89.998650 1.685025 1.365175 6.951150
30.000000 89.926650 1.696475 1.372475 7.004400
31.000000 90.034250 1.643300 1.303625 7.018825
32.000000 89.826525 1.694175 1.360125 7.119175
33.000000 89.773550 1.731150 1.348550 7.146750
34.000000 89.609000 1.770075 1.391800 7.229125
35.000000 89.778775 1.742750 1.333775 7.144700
36.000000 89.656575 1.729625 1.485700 7.128100
37.000000 89.518125 1.739175 1.404100 7.338600
38.000000 89.450575 1.782200 1.374550 7.392675
39.000000 89.314925 1.841750 1.389000 7.454325
40.000000 89.281475 1.846300 1.407475 7.464750
