# strain(%) 1_3(1-100)_density(m^-2) 1_3(1-210)_density(m^-2) 1_3(1-213)_density(m^-2) other_density(m^-2) total_density(m^-2)
0.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
5.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
10.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.100000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.200000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.300000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.400000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.500000 0.000000e+00 0.000000e+00 0.000000e+00 2.169889e+13 2.169889e+13
15.600000 4.818645e+12 0.000000e+00 0.000000e+00 1.415271e+14 1.463457e+14
15.700000 4.890672e+13 9.980653e+12 1.397740e+13 1.170620e+15 1.243485e+15
15.800000 2.312880e+14 5.470574e+12 2.399655e+14 4.296236e+15 4.772960e+15
15.900000 1.695309e+15 1.329340e+14 9.548469e+14 1.038332e+16 1.316641e+16
16.000000 6.765659e+15 5.721918e+14 1.268181e+15 2.043079e+16 2.903682e+16
16.100000 1.172219e+16 1.070097e+15 1.471063e+15 2.847941e+16 4.274276e+16
16.200000 1.597301e+16 1.611900e+15 1.358108e+15 3.367417e+16 5.261719e+16
16.300000 1.809584e+16 2.269308e+15 1.328487e+15 3.679348e+16 5.848712e+16
16.400000 2.071571e+16 2.627532e+15 1.356259e+15 3.994738e+16 6.464688e+16
16.500000 2.315633e+16 3.225156e+15 1.389966e+15 4.182569e+16 6.959714e+16
16.600000 2.425304e+16 3.478053e+15 1.357135e+15 4.449882e+16 7.358705e+16
16.700000 2.613076e+16 4.074004e+15 1.347110e+15 4.583636e+16 7.738823e+16
16.800000 2.813876e+16 4.406618e+15 1.426211e+15 4.762666e+16 8.159825e+16
16.900000 2.862266e+16 4.806691e+15 1.393177e+15 4.815224e+16 8.297477e+16
17.000000 3.102924e+16 5.156848e+15 1.334805e+15 4.875194e+16 8.627283e+16
17.100000 3.199677e+16 5.539651e+15 1.327059e+15 5.060316e+16 8.946664e+16
17.200000 3.205631e+16 5.706216e+15 1.338326e+15 5.218103e+16 9.128188e+16
17.300000 3.364902e+16 6.115597e+15 1.361022e+15 5.286646e+16 9.399210e+16
17.400000 3.451861e+16 6.491724e+15 1.438680e+15 5.421393e+16 9.666295e+16
17.500000 3.496086e+16 6.902681e+15 1.559292e+15 5.574218e+16 9.916502e+16
17.600000 3.650672e+16 7.046496e+15 1.369818e+15 5.679212e+16 1.017152e+17
17.700000 3.680728e+16 7.501114e+15 1.359359e+15 5.810658e+16 1.037743e+17
17.800000 3.719886e+16 7.656145e+15 1.471501e+15 5.825456e+16 1.045811e+17
17.900000 3.773252e+16 7.930717e+15 1.419144e+15 5.899598e+16 1.060784e+17
18.000000 3.827747e+16 8.325290e+15 1.422731e+15 5.916484e+16 1.071903e+17
18.100000 3.962188e+16 8.402531e+15 1.443012e+15 6.052251e+16 1.099899e+17
18.200000 4.050648e+16 8.869499e+15 1.433131e+15 6.194260e+16 1.127517e+17
18.300000 4.173294e+16 9.051063e+15 1.524579e+15 6.272964e+16 1.150382e+17
18.400000 4.122822e+16 9.335280e+15 1.604480e+15 6.182804e+16 1.139960e+17
18.500000 4.123858e+16 9.512879e+15 1.551903e+15 6.369414e+16 1.159975e+17
18.600000 4.271564e+16 1.007668e+16 1.651898e+15 6.462193e+16 1.190661e+17
18.700000 4.314252e+16 1.020973e+16 1.592108e+15 6.357348e+16 1.185178e+17
18.800000 4.321654e+16 1.030016e+16 1.710798e+15 6.440046e+16 1.196280e+17
18.900000 4.319325e+16 1.062971e+16 1.585586e+15 6.542891e+16 1.208375e+17
19.000000 4.424623e+16 1.092748e+16 1.651022e+15 6.590882e+16 1.227335e+17
19.100000 4.485698e+16 1.116690e+16 1.590673e+15 6.629999e+16 1.239145e+17
19.200000 4.457380e+16 1.132009e+16 1.675881e+15 6.699997e+16 1.245697e+17
19.300000 4.504885e+16 1.156763e+16 1.767581e+15 6.713980e+16 1.255239e+17
19.400000 4.469086e+16 1.181786e+16 1.639715e+15 6.727671e+16 1.254251e+17
19.500000 4.545374e+16 1.228794e+16 1.675075e+15 6.891443e+16 1.283312e+17
19.600000 4.572662e+16 1.236508e+16 1.729827e+15 6.979091e+16 1.296124e+17
19.700000 4.581284e+16 1.263096e+16 1.642501e+15 6.975519e+16 1.298415e+17
19.800000 4.655915e+16 1.296140e+16 1.745541e+15 7.034608e+16 1.316122e+17
19.900000 4.712232e+16 1.310817e+16 1.811290e+15 7.214288e+16 1.341847e+17
20.000000 4.771393e+16 1.331652e+16 1.725923e+15 7.241197e+16 1.351683e+17
25.000000 5.937275e+16 2.156400e+16 1.662530e+15 8.849573e+16 1.710950e+17
30.000000 6.649582e+16 2.241876e+16 1.415397e+15 9.275180e+16 1.830818e+17
35.000000 6.944838e+16 2.157005e+16 1.256552e+15 9.531187e+16 1.875869e+17
40.000000 7.038788e+16 2.176427e+16 1.564687e+15 9.772910e+16 1.914459e+17
