# strain(%) 1_3(1-100)_density(m^-2) 1_3(1-210)_density(m^-2) 1_3(1-213)_density(m^-2) other_density(m^-2) total_density(m^-2)
0.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
4.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
5.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
6.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
8.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
9.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
10.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
11.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
12.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
13.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
14.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
16.000000 9.637125e+15 5.338777e+14 8.279681e+14 2.835448e+16 3.935345e+16
17.000000 2.762167e+16 4.314922e+15 1.564103e+15 5.509456e+16 8.859525e+16
18.000000 3.487982e+16 7.265489e+15 1.591405e+15 6.169418e+16 1.054309e+17
19.000000 3.848759e+16 9.962348e+15 1.733307e+15 7.490684e+16 1.250901e+17
20.000000 4.262999e+16 1.264804e+16 2.195029e+15 7.455177e+16 1.320248e+17
21.000000 4.821331e+16 1.477645e+16 3.126703e+15 7.781320e+16 1.439297e+17
22.000000 4.805445e+16 1.778152e+16 2.422752e+15 8.326833e+16 1.515271e+17
23.000000 5.196363e+16 1.846677e+16 2.644815e+15 9.123109e+16 1.643063e+17
24.000000 4.805139e+16 1.912351e+16 2.728704e+15 8.740915e+16 1.573128e+17
25.000000 5.332718e+16 1.910002e+16 1.972052e+15 8.661900e+16 1.610182e+17
26.000000 5.882925e+16 1.867948e+16 1.772394e+15 8.627274e+16 1.655539e+17
27.000000 6.264827e+16 2.020978e+16 1.359084e+15 8.610530e+16 1.703224e+17
28.000000 6.506208e+16 2.179543e+16 1.693387e+15 9.354879e+16 1.820997e+17
29.000000 6.454166e+16 2.193485e+16 1.345192e+15 9.323517e+16 1.810569e+17
30.000000 6.913356e+16 1.980517e+16 1.229163e+15 9.112368e+16 1.812916e+17
31.000000 6.274627e+16 1.914221e+16 1.275541e+15 9.565658e+16 1.788206e+17
32.000000 6.551334e+16 1.769950e+16 9.323545e+14 9.620889e+16 1.803541e+17
33.000000 7.012020e+16 1.672362e+16 8.993922e+14 9.147855e+16 1.792218e+17
34.000000 7.381027e+16 1.721009e+16 7.897668e+14 9.613721e+16 1.879473e+17
35.000000 6.836621e+16 1.948145e+16 7.383091e+14 9.711907e+16 1.857050e+17
36.000000 6.678967e+16 1.887067e+16 7.712470e+14 1.029241e+17 1.893557e+17
37.000000 6.891037e+16 1.936219e+16 5.977929e+14 9.370150e+16 1.825719e+17
38.000000 7.273989e+16 1.916105e+16 1.257111e+15 1.090045e+17 2.021625e+17
39.000000 7.095388e+16 1.938101e+16 1.034488e+15 1.088564e+17 2.002257e+17
40.000000 7.516564e+16 1.821905e+16 6.539063e+14 1.020830e+17 1.961216e+17
