# strain(%) 1_3(1-100)_density(m^-2) 1_3(1-210)_density(m^-2) 1_3(1-213)_density(m^-2) other_density(m^-2) total_density(m^-2)
0.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
5.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
10.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.050000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.100000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.150000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.200000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.250000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.300000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.350000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.400000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.450000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.550000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.600000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.650000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.700000 0.000000e+00 0.000000e+00 0.000000e+00 1.777751e+14 1.777751e+14
15.750000 0.000000e+00 0.000000e+00 4.464755e+14 2.967437e+15 3.413912e+15
15.800000 3.394139e+14 0.000000e+00 0.000000e+00 4.145018e+15 4.484432e+15
15.850000 0.000000e+00 0.000000e+00 0.000000e+00 3.439786e+15 3.439786e+15
15.900000 1.801995e+15 0.000000e+00 4.997466e+14 9.744575e+15 1.204632e+16
15.950000 6.424243e+15 5.472992e+14 2.840179e+15 1.123273e+16 2.104445e+16
16.000000 6.867146e+15 9.208762e+14 2.894176e+15 1.745606e+16 2.813826e+16
16.050000 9.556556e+15 5.819088e+14 2.872886e+15 1.780356e+16 3.081491e+16
16.100000 9.998184e+15 3.171778e+15 1.590286e+15 2.313327e+16 3.789352e+16
16.150000 1.682608e+16 3.908269e+15 3.747135e+14 3.275462e+16 5.386368e+16
16.200000 2.018352e+16 4.695743e+15 0.000000e+00 3.559575e+16 6.047501e+16
16.250000 2.426733e+16 2.845734e+15 1.997643e+14 3.732722e+16 6.464005e+16
16.300000 2.396075e+16 4.128088e+15 1.043379e+15 3.688029e+16 6.601251e+16
16.350000 3.014250e+16 3.752178e+15 0.000000e+00 3.382728e+16 6.772196e+16
16.400000 3.030052e+16 4.195979e+15 0.000000e+00 3.621004e+16 7.070654e+16
16.450000 3.018149e+16 3.330642e+15 2.885608e+14 3.336606e+16 6.716675e+16
16.500000 2.601096e+16 2.868013e+15 0.000000e+00 4.032171e+16 6.920068e+16
16.550000 3.082669e+16 2.950848e+15 3.838597e+14 3.142464e+16 6.558604e+16
16.600000 3.224919e+16 3.238775e+15 3.243400e+14 3.950446e+16 7.531677e+16
16.650000 2.946056e+16 3.139739e+15 4.692190e+14 4.054918e+16 7.361870e+16
16.700000 2.180101e+16 3.672484e+15 3.496745e+14 4.077051e+16 6.659368e+16
16.750000 2.838656e+16 2.884594e+15 2.647189e+14 3.641193e+16 6.794780e+16
16.800000 2.749162e+16 4.126153e+15 0.000000e+00 3.780413e+16 6.942190e+16
16.850000 2.525739e+16 4.310623e+15 0.000000e+00 3.393463e+16 6.350264e+16
16.900000 3.159071e+16 4.400543e+15 6.428949e+14 4.154992e+16 7.818407e+16
16.950000 3.131932e+16 3.806654e+15 0.000000e+00 4.214142e+16 7.726739e+16
17.000000 3.842978e+16 3.815918e+15 0.000000e+00 4.796685e+16 9.021255e+16
17.050000 3.062197e+16 3.940441e+15 1.044108e+15 4.599456e+16 8.160108e+16
