# strain(%) 1_3(1-100)_density(m^-2) 1_3(1-210)_density(m^-2) 1_3(1-213)_density(m^-2) other_density(m^-2) total_density(m^-2)
18.300000 4.040621e+16 8.993583e+15 1.722302e+15 6.714854e+16 1.182706e+17
18.350000 4.096146e+16 9.356851e+15 1.592704e+15 6.625846e+16 1.181695e+17
18.400000 4.110013e+16 9.010339e+15 1.701621e+15 6.519290e+16 1.170050e+17
18.450000 4.190996e+16 9.412308e+15 1.717443e+15 6.587883e+16 1.189185e+17
18.500000 4.194066e+16 9.601664e+15 1.783900e+15 6.611099e+16 1.194372e+17
18.550000 4.199448e+16 9.690791e+15 1.713452e+15 6.675745e+16 1.201562e+17
18.600000 4.263754e+16 9.878716e+15 1.605487e+15 6.622721e+16 1.203490e+17
18.650000 4.388484e+16 9.889420e+15 1.600094e+15 6.773721e+16 1.231116e+17
18.700000 4.283615e+16 1.012301e+16 1.588692e+15 6.721519e+16 1.217630e+17
18.750000 4.279414e+16 1.018530e+16 1.557264e+15 6.899320e+16 1.235299e+17
18.800000 4.330561e+16 1.029962e+16 1.799326e+15 6.690593e+16 1.223105e+17
18.850000 4.264585e+16 1.074159e+16 1.649895e+15 6.883784e+16 1.238752e+17
18.900000 4.381597e+16 1.112249e+16 1.621149e+15 7.083244e+16 1.273921e+17
18.950000 4.484003e+16 1.114609e+16 1.596589e+15 7.080649e+16 1.283892e+17
19.000000 4.376763e+16 1.079252e+16 1.654248e+15 6.977312e+16 1.259875e+17
19.050000 4.327084e+16 1.118756e+16 1.962130e+15 6.923250e+16 1.256530e+17
19.100000 4.412131e+16 1.119878e+16 1.632893e+15 7.081766e+16 1.277706e+17
19.150000 4.500153e+16 1.110592e+16 1.690116e+15 6.991516e+16 1.277127e+17
19.200000 4.641310e+16 1.100452e+16 1.825004e+15 7.128600e+16 1.305286e+17
19.250000 4.692144e+16 1.134212e+16 1.553222e+15 7.047322e+16 1.302900e+17
19.300000 4.672368e+16 1.162639e+16 1.640747e+15 7.173355e+16 1.317244e+17
